headline,content
Combine HTML and Python withÂ flask,"Hey! Ever wanted to execute a Python script when clicking on an HTML button? You can do this with Flask, which is a microframework for building websites with Python. This is how you can do it:"
How to create a simple Chatbot inÂ Python,"Hey! Lets have a look at how you can create a simple chatbot with Pythons NLTK module. The module is made for natural language processing. First you need to install and run Jupyter Notebook, to do that you need to run these commands in your terminal:"
Connect your devices with KDEÂ connect,"Hey! Ever wanted the superpower to execute commands on your PC right from your phone? Well search no longer, because the open source world got you covered. ğŸ˜‰ Meet KDE Connect! All you need is an Android phone and a PC with Linux to be able to:"
5 great apps forÂ Linux,Hello! Lets have a look at some great free apps you can use on Linux.
How to connect your Linux Desktop toÂ nextcloud,"Hi! If you want to use the nextcloud as your cloud provider, read on. First go to http://www.nextcloud.com and click on â€œget nextcloudâ€-sign up now. Choose a provider that you like and sign up with your email-adress. When you reach this site you will find the link of your server at the bottom left when you click on Settings. "
What is HTTP?,
7 To Dos after ManjaroÂ installation,"Who needs a haircut when you can have a new LINUX distribution? ğŸ˜€ I now have a dual boot with Manjaro and Arch and I wanted to share some recommended To dos for after you installed Manjaro:1. Enable the firewall2. Choose your country in the mirror list of pamac3. Configure your update policy in pamac4. Enable AUR in pamac if you need packages from there5. For backups you can install and configure Deja dup6. Configue timeshift, so if you messed up you have system snapshots to go back to7. Optional: make your system beautiful with themes and icon sets from xfce-look.org if you chose XFCEWhich Linux distro do you use and why? Have a good start into the week. ğŸ™‚"
How to become your â€˜idealÂ selfâ€™,"How can you be like the type of person you would like to meet? If you zoom into the picture you can see the quote hanging on my wall. ğŸ™‚ I have been thinking of people that inspire me and what they have in common. They all have these character traits: courageous, persistant, self-confident and optimistic. Analyzing who inspires you can show you what kind of person you want to be."
SQLite,"For the university we have to prepare presentations for different Databases. My friend and me chose â€œSQLiteâ€, so I started collecting some info. SQLite is a relational database management system and the most used database engine in the world. .Its a very small library, depending on which platform you use it can be only 600kb big. It is embedded into your application and runs there locally, meaning there is no server needed. .All you need to do is to create an SQLite database in your application and then you are able to use SQL to access and change the data. The database file is stored in your project. The SQLite library is already part of Android Studio so you can have a head start..I found an example project for Android Studio online, which shows how you can use SQLite inside your Android app, this is the link:https://github.com/ravi8x/AndroidSQLite ..You find the database file of this project like this: run your virtual device or connect the phone and run your app. Click on viewâ†’tool windowsâ†’ device file explorer. Then go to the folder data/data/info.androidhive.sqlite/databases.Which databases are your favorites? Have a nice Sunday! ğŸ˜Š"
How to solve complexÂ problems,"How can you better solve complex coding problems? Here are a few tips:1. Work test-drivenWrite your tests first, and then your code. Like this you can immediately check if your code is doing what you want. Also this helps to have all your code covered with tests.2. Use the debuggerThe debugger is very powerful, as you can run and stop your code line by line and see which values your variables have at the corresponding line, for example. .3. Write detailed pseudo-codeWith pseudo-code you write down in â€œnormal languageâ€ what your code is supposed to do. Its important that you write very detailed and exact pseudo-code, so that its easy for you to fill in the actual code later.4. Use Jacocoverage / other coverage toolsIn Netbeans you can download a Plug-in called Jacocoverage, which checks which parts are covered by tests and to what degree. Like this its easy for you to fill in the gaps.What are your tips for solving complex coding problems? Have a nice Sunday! ğŸ˜Š"
